0.040996 1.937885 0.611668 0.491433 3.498941 4.198718 4.899115 5.602225 6.303377 6.997883 7.698468 8.398683 9.212324 9.921069 10.481263 11.180144 11.991267 12.548564 13.347817 14.054900 14.677967 15.442717 16.103077 16.792120 
0.217669 0.685534 0.074607 0.493443 3.499164 4.198716 4.899067 5.602305 6.303240 7.003868 7.698473 8.398571 9.211892 9.920480 10.481261 11.180287 11.991471 12.548622 13.348240 14.054007 14.677999 15.442722 16.104069 16.792134 
0.086521 2.229669 0.352573 0.491757 3.498941 4.198748 4.899090 5.602227 6.303427 6.997964 7.699061 8.399116 9.212308 9.921067 10.481263 11.179290 11.991392 12.549344 13.348312 14.054371 14.677992 15.443248 16.104097 16.792127 
0.040914 0.660234 0.015990 0.492869 3.498962 4.198715 4.898957 5.602226 6.303240 6.998074 7.698465 8.399165 9.212304 9.921075 10.481252 11.237087 11.991268 12.549382 13.348241 14.054982 14.677967 15.442717 16.103650 16.792156 
0.371195 3.754708 0.730576 0.057928 3.499162 4.198716 4.899035 5.602324 6.303371 6.998435 7.698495 8.398633 9.212324 9.921193 10.481260 11.181169 11.991236 12.549409 13.358179 14.060103 14.677916 15.443081 16.127563 16.789187 
0.365777 2.980411 3.534151 0.035688 3.498962 4.198631 4.898961 5.602282 6.303236 6.998074 7.698468 8.399218 9.212304 9.921023 10.481286 11.236957 11.991486 12.549359 13.358216 14.054983 14.677946 15.443159 16.126976 16.789172 
0.083207 2.261758 0.352573 0.492084 3.498953 4.198748 4.899288 5.602227 6.303238 6.997964 7.699052 8.399116 9.212348 9.921074 10.481263 11.179292 11.991392 12.549343 13.348317 14.054375 14.677989 15.442727 16.103971 16.792127 
0.289248 2.974747 1.687387 0.492426 3.499151 4.198626 4.898956 5.602227 6.303369 6.998423 7.698478 8.398402 9.212324 9.921070 10.481261 11.180143 11.991268 12.549235 13.358439 14.061650 14.677967 15.443158 16.126992 16.792046 
0.387743 2.223381 0.352573 0.491757 3.498951 4.198748 4.899090 5.602236 6.303427 6.997964 7.699061 8.399116 9.212308 9.921060 10.481263 11.179290 11.991268 12.548277 13.348160 14.054371 14.677992 15.443248 16.104097 16.789127 
0.040733 0.644480 5.749434 0.677502 3.498938 4.198717 4.898963 5.602319 6.303380 7.003903 7.698477 8.398405 9.212338 9.921075 10.481252 11.180239 11.991269 12.549400 13.348037 14.054982 14.677946 15.442735 16.103764 16.792226 
